CPTCode,ShortDescription
81528,Onc clrctl screen qnt rt DNA
81536,Onc gyn tmr cell addon
81540,Onc tum unkwn org mRNA
81599,Unlisted MAAA
82009,Test for acetone/ketones
82010,Acetone assay
82013,Acetylcholinesterase assay
82016,"Acylcarnitines, qual"
82017,"Acylcarnitines, quant"
82024,Assay of ACTH
82030,Assay of ADP & AMP
82040,Assay of serum albumin
82042,Assay of urine albumin
82043,"Microalbumin, quantitative"
82044,"Microalbumin, semiquant"
82045,"Albumin, ischemia modified"
82075,Assay of breath ethanol
82085,Assay of aldolase
82088,Assay of aldosterone
82103,"Alpha-1-antitrypsin, total"
82104,"Alpha-1-antitrypsin, pheno"
82105,"Alpha-fetoprotein, serum"
82106,"Alpha-fetoprotein, amniotic"
82107,Alpha-fetoprotein L3
82108,Assay of aluminum
82120,"Amines, vaginal fluid qual"
82127,"Amino acid, single qual"
82128,"Amino acids, mult qual"
82131,"Amino acids, single quant"
82135,"Assay, aminolevulinic acid"
82136,"Amino acids, quant, 2-5"
82139,"Amino acids, quan, 6 or more"
82140,Assay of ammonia
82143,Amniotic fluid scan
82150,Assay of amylase
82154,Androstanediol glucuronide
82157,Assay of androstenedione
82160,Assay of androsterone
82163,Assay of angiotensin ii
82164,Angiotensin i enzyme test
82172,Assay of apolipoprotein
82175,Assay of arsenic
82180,Assay of ascorbic acid
82190,Atomic absorption
82232,Assay of beta-2 protein
82239,"Bile acids, total"
82240,"Bile acids, cholylglycine"
82247,"Bilirubin, total"
82248,"Bilirubin, direct"
82252,Fecal bilirubin test
82261,Assay of biotinidase
82270,"Occult blood, feces"
82271,"Occult blood, other sources"
82272,"Occult bld feces, 1-3 tests"
82274,"Assay test for blood, fecal"
82286,Assay of bradykinin
82300,Assay of cadmium
82306,Vitamin D 25 hydroxy
82308,Assay of calcitonin
82310,Assay of calcium
82330,Assay of calcium
82331,Calcium infusion test
82340,Assay of calcium in urine
82355,"Calculus analysis, qual"
82360,"Calculus assay, quant"
82365,Calculus spectroscopy
82370,"X-ray assay, calculus"
82373,"Assay, c-d transfer measure"
82374,"Assay, blood carbon dioxide"
82375,Assay carboxyhb quant
82376,Assay carboxyhb qual
82378,Carcinoembryonic antigen
82379,Assay of carnitine
82380,Assay of carotene
82382,"Assay, urine catecholamines"
82383,"Assay, blood catecholamines"
82384,"Assay, 3 catecholamines"
82387,Assay of cathepsin-D
82390,Assay of ceruloplasmin
82397,Chemiluminescent assay
82415,Assay of chloramphenicol
82435,Assay of blood chloride
82436,Assay of urine chloride
82438,"Assay, other fluid chlorides"
82441,Test for chlorohydrocarbons
82465,"Assay, bld/serum cholesterol"
82480,"Assay, serum cholinesterase"
82482,"Assay, RBC cholinesterase"
82485,"Assay, chondroitin sulfate"
82495,Assay of chromium
82507,Assay of citrate
82523,Collagen crosslinks
82525,Assay of copper
82528,Assay of corticosterone
82530,"Cortisol, free"
82533,Total cortisol
82540,Assay of creatine
82550,Assay of CK (CPK)
82552,Assay of CPK in blood
82553,"Creatine, MB fraction"
82554,"Creatine, isoforms"
82565,Assay of creatinine
82570,Assay of urine creatinine
82575,Creatinine clearance test
82585,Assay of cryofibrinogen
82595,Assay of cryoglobulin
82600,Assay of cyanide
82607,Vitamin B-12
82608,B-12 binding capacity
82610,Cystatin C
82615,Test for urine cystines
82626,Dehydroepiandrosterone
82627,Dehydroepiandrosterone
82633,Desoxycorticosterone
82634,Deoxycortisol
82638,Assay of dibucaine number
82652,Vit D 1 25-dihydroxy
82656,"Pancreatic elastase, fecal"
82657,Enzyme cell activity
82658,"Enzyme cell activity, ra"
82664,Electrophoretic test
82668,Assay of erythropoietin
82670,Assay of estradiol
82671,Assay of estrogens
82672,Assay of estrogen
82677,Assay of estriol
82679,Assay of estrone
82693,Assay of ethylene glycol
82696,Assay of etiocholanolone
82705,"Fats/lipids, feces, qual"
82710,"Fats/lipids, feces, quant"
82715,Assay of fecal fat
82725,Assay of blood fatty acids
82726,Long chain fatty acids
82728,Assay of ferritin
82731,Assay of fetal fibronectin
82735,Assay of fluoride
82746,Assay of folic acid serum
82747,"Assay of folic acid, RBC"
82757,Assay of semen fructose
82759,Assay of RBC galactokinase
82760,Assay of galactose
82775,Assay galactose transferase
82776,Galactose transferase test
82777,Galectin-3
82784,"Assay IgA/IgD/IgG/IgM, each"
82785,Assay of IgE
82787,"IgG 1, 2, 3 or 4, each"
82800,Blood pH
82803,"Blood gases, any combination"
82805,Blood gases w/O2 saturation
82810,"Blood gases, O2 sat only"
82820,Hemoglobin-oxygen affinity
82930,Gastric analy w/ph ea spec
82938,Gastrin test
82941,Assay of gastrin
82943,Assay of glucagon
82945,Glucose other fluid
82946,Glucagon tolerance test
82947,"Assay, glucose, blood quant"
82948,Reagent strip/blood glucose
82950,Glucose test
82951,Glucose tolerance test (GTT)
82952,GTT-added samples
82955,Assay of g6pd enzyme
82960,Test for g6pd enzyme
82962,Glucose blood test
82963,Assay of glucosidase
82965,Assay of GDH enzyme
82977,Assay of GGT
82978,Assay of glutathione
82979,"Assay, RBC glutathione"
82985,Assay of glycated protein
83001,Assay of gonadotropin (FSH)
83002,Assay of gonadotropin (LH)
83003,"Assay, growth hormone (HGH)"
83006,Growth stimulation gene 2
83009,"H pylori (C-13), blood"
83010,"Assay of haptoglobin, quant"
83012,Assay of haptoglobins
83013,"H pylori (C-13), breath"
83014,H pylori drug admin
83020,Hemoglobin electrophoresis
83021,Hemoglobin chromatography
83026,"Hemoglobin, copper sulfate"
83030,"Fetal hemoglobin, chemical"
83033,"Fetal hemoglobin assay, qual"
83036,Glycosylated hemoglobin test
83037,"Glycosylated Hb, home device"
83045,Blood methemoglobin test
83050,Blood methemoglobin assay
83051,Assay of plasma hemoglobin
83060,Blood sulfhemoglobin assay
83065,Assay of hemoglobin heat
83068,Hemoglobin stability screen
83069,Assay of urine hemoglobin
83070,"Assay of hemosiderin, qual"
83080,Assay of b-Hexosaminidase
83088,Assay of histamine
83090,Assay of homocysteine
83150,Assay of homovanillic acid
83491,Assay of corticosteroids 17
83497,Assay of 5-HIAA
83498,Assay of progesterone 17-d
83499,Assay of progesterone 20-
83500,"Assay, free hydroxyproline"
83505,"Assay, total hydroxyproline"
83516,"Immunoassay, nonantibody"
83518,"Immunoassay, dipstick"
83519,"RIA, nonantibody"
83520,"Immunoassay, quant NOS nonab"
83525,Assay of insulin
83527,Assay of insulin
83528,Assay of intrinsic factor
83540,Assay of iron
83550,Iron binding test
83570,Assay of IDH enzyme
83582,Assay of ketogenic steroids
83586,Assay 17- ketosteroids
83593,"Fractionation, ketosteroids"
83605,Assay of lactic acid
83615,Lactate (LD) (LDH) enzyme
83625,Assay of LDH enzymes
83630,"Lactoferrin, fecal (qual)"
83631,"Lactoferrin, fecal (quant)"
83632,Placental lactogen
83633,Test urine for lactose
83655,Assay of lead
83661,"L/S ratio, fetal lung"
83662,"Foam stability, fetal lung"
83663,"Fluoro polarize, fetal lung"
83664,"Lamellar bdy, fetal lung"
83670,Assay of lap enzyme
83690,Assay of lipase
83695,Assay of lipoprotein(a)
83698,Assay lipoprotein PLA2
83700,"Lipopro bld, electrophoretic"
83701,"Lipoprotein bld, hr fraction"
83718,Assay of lipoprotein
83719,Assay of blood lipoprotein
83721,Assay of blood lipoprotein
83727,Assay of LRH hormone
83735,Assay of magnesium
83775,Assay malate dehydrogenase
83785,Assay of manganese
83825,Assay of mercury
83835,Assay of metanephrines
83857,Assay of methemalbumin
83861,Microfluid analy tears
83864,Mucopolysaccharides
83872,Assay synovial fluid mucin
83873,Assay of CSF protein
83874,Assay of myoglobin
83876,"Assay, myeloperoxidase"
83880,Assay of natriuretic peptide
83883,"Assay, nephelometry not spec"
83885,Assay of nickel
83915,Assay of nucleotidase
83916,Oligoclonal bands
83918,"Organic acids, total, quant"
83919,"Organic acids, qual, each"
83921,"Organic acid, single, quant"
83930,Assay of blood osmolality
83935,Assay of urine osmolality
83937,Assay of osteocalcin
83945,Assay of oxalate
83950,Oncoprotein HER-2/neu
83951,Oncoprotein DCP
83970,Assay of parathormone
83986,Assay pH body fluid NOS
83987,Exhaled breath condensate
83992,Assay for phencyclidine
83993,Assay for calprotectin fecal
84030,Assay of blood PKU
84035,Assay of phenylketones
84060,Assay acid phosphatase
84061,"Phosphatase, forensic exam"
84066,Assay prostate phosphatase
84075,Assay alkaline phosphatase
84078,Assay alkaline phosphatase
84080,Assay alkaline phosphatases
84081,Assay phosphatidylglycerol
84085,Assay of RBC pg6d enzyme
84087,Assay phosphohexose enzymes
84100,Assay of phosphorus
84105,Assay of urine phosphorus
84106,Test for porphobilinogen
84110,Assay of porphobilinogen
84112,Eval amniotic fluid protein
84119,Test urine for porphyrins
84120,Assay of urine porphyrins
84126,Assay of feces porphyrins
84132,Assay of serum potassium
84133,Assay of urine potassium
84134,Assay of prealbumin
84135,Assay of pregnanediol
84138,Assay of pregnanetriol
84140,Assay of pregnenolone
84143,Assay of 17-hydroxypregneno
84144,Assay of progesterone
84145,Procalcitonin (PCT)
84146,Assay of prolactin
84150,Assay of prostaglandin
84152,"Assay of PSA, complexed"
84153,"Assay of PSA, total"
84154,"Assay of PSA, free"
84155,"Assay of protein, serum"
84156,"Assay of protein, urine"
84157,"Assay of protein, other"
84160,"Assay of protein, any source"
84163,"PAPP-A, serum"
84165,"Protein e-phoresis, serum"
84166,Protein e-phoresis/urine/CSF
84181,Western Blot test
84182,"Protein, Western Blot test"
84202,Assay RBC protoporphyrin
84203,Test RBC protoporphyrin
84206,Assay of proinsulin
84207,Assay of vitamin B-6
84210,Assay of pyruvate
84220,Assay of pyruvate kinase
84228,Assay of quinine
84233,Assay of estrogen
84234,Assay of progesterone
84235,Assay of endocrine hormone
84238,"Assay, nonendocrine receptor"
84244,Assay of renin
84252,Assay of vitamin B-2
84255,Assay of selenium
84260,Assay of serotonin
84270,Assay of sex hormone globul
84275,Assay of sialic acid
84285,Assay of silica
84295,Assay of serum sodium
84300,Assay of urine sodium
84302,Assay of sweat sodium
84305,Assay of somatomedin
84307,Assay of somatostatin
84311,Spectrophotometry
84315,Body fluid specific gravity
84375,"Chromatogram assay, sugars"
84376,"Sugars, single, qual"
84377,"Sugars, multiple, qual"
84378,"Sugars, single, quant"
84379,Sugars multiple quant
84392,Assay of urine sulfate
84402,Assay of free testosterone
84403,Assay of total testosterone
84425,Assay of vitamin B-1
84430,Assay of thiocyanate
84431,"Thromboxane, urine"
84432,Assay of thyroglobulin
84436,Assay of total thyroxine
84437,Assay of neonatal thyroxine
84439,Assay of free thyroxine
84442,Assay of thyroid activity
84443,Assay thyroid stim hormone
84445,Assay of TSI globulin
84446,Assay of vitamin E
84449,Assay of transcortin
84450,Transferase (AST) (SGOT)
84460,Alanine amino (ALT) (SGPT)
84466,Assay of transferrin
84478,Assay of triglycerides
84479,Assay of thyroid (T3 or T4)
84480,"Assay, triiodothyronine (T3)"
84481,Free assay (ft-3)
84482,T3 reverse
84484,"Assay of troponin, quant"
84485,Assay duodenal fluid trypsin
84488,Test feces for trypsin
84490,Assay of feces for trypsin
84510,Assay of tyrosine
84512,"Assay of troponin, qual"
84520,Assay of urea nitrogen
84525,Urea nitrogen semi-quant
84540,Assay of urine/urea-n
84545,Urea-n clearance test
84550,Assay of blood/uric acid
84560,Assay of urine/uric acid
84577,Assay of feces/urobilinogen
84578,Test urine urobilinogen
84580,Assay of urine urobilinogen
84583,Assay of urine urobilinogen
84585,Assay of urine VMA
84586,Assay of VIP
84588,Assay of vasopressin
84590,Assay of vitamin A
84591,Assay of NOS vitamin
84597,Assay of vitamin K
84600,Assay of volatiles
84620,Xylose tolerance test
84630,Assay of zinc
84681,Assay of c-peptide
84702,Chorionic gonadotropin test
84703,Chorionic gonadotropin assay
84704,hCG free beta chain test
84830,Ovulation tests
84999,Clinical chemistry test
85002,Bleeding time test
85004,Automated diff WBC count
85007,Bl smear w/diff WBC count
85008,Bl smear w/o diff WBC count
85009,Manual diff WBC count b-coat
85013,Spun microhematocrit
85014,Hematocrit
85018,Hemoglobin
85025,Complete CBC w/auto diff WBC
85027,"Complete CBC, automated"
85032,"Manual cell count, each"
85041,Automated RBC count
85044,Manual reticulocyte count
85045,Automated reticulocyte count
85046,Reticyte/hgb concentrate
85048,Automated leukocyte count
85049,Automated platelet count
85055,Reticulated platelet assay
85060,Blood smear interpretation
85097,Bone marrow interpretation
85130,Chromogenic substrate assay
85170,Blood clot retraction
85175,Blood clot lysis time
85210,Clot factor II prothrom spec
85220,Blood clot factor V test
85230,Clot factor VII proconvertin
85240,Clot factor VIII AHG 1-stage
85244,Clot factor VIII reltd antgn
85245,Clot factor VIII VW ristoctn
85246,Clot factor VIII VW antigen
85247,Clot factor VIII multimetric
85250,Clot factor IX PTC/Christmas
85260,Clot factor X Stuart-Prower
85270,Clot factor XI PTA
85280,Clot factor XII Hageman
85290,Clot factor XIII fibrin stab
85291,Clot factor XIII fibrin scrn
85292,Clot factor Fletcher factor
85293,Clot factor wght kininogen
85300,Antithrombin III activity
85301,Antithrombin III antigen
85302,Clot inhibit prot C antigen
85303,Clot inhibit prot C activity
85305,Clot inhibit prot S total
85306,Clot inhibit prot S free
85307,Assay activated protein c
85335,Factor inhibitor test
85337,Thrombomodulin
85345,Coagulation time Lee & White
85347,Coagulation time activated
85348,Coagulation time otr methods
85360,Euglobulin lysis
85362,Fibrin degradation products
85366,Fibrinogen test
85370,Fibrinogen test
85378,"Fibrin degrade, semiquant"
85379,"Fibrin degradation, quant"
85380,Fibrin degradj D-dimer
85384,Fibrinogen activity
85385,Fibrinogen antigen
85390,Fibrinolysins screen I&R
85396,"Clotting assay, whole blood"
85397,Clotting funct activity
85400,Fibrinolytic plasmin
85410,Fibrinolytic antiplasmin
85415,Fibrinolytic plasminogen
85420,Fibrinolytic plasminogen
85421,Fibrinolytic plasminogen
85441,"Heinz bodies, direct"
85445,"Heinz bodies, induced"
85460,"Hemoglobin, fetal"
85461,"Hemoglobin, fetal"
85475,Hemolysin acid
85520,Heparin assay
85525,Heparin neutralization
85530,Heparin-protamine tolerance
85536,Iron stain peripheral blood
85540,WBC alkaline phosphatase
85547,RBC mechanical fragility
85549,Muramidase
85555,RBC osmotic fragility
85557,RBC osmotic fragility
85576,Blood platelet aggregation
85597,Phospholipid pltlt neutraliz
85598,Hexagnal phosph pltlt neutrl
85610,Prothrombin time
85611,Prothrombin test
85612,Viper venom prothrombin time
85613,"Russell viper venom, diluted"
85635,Reptilase test
85651,"RBC sed rate, nonautomated"
85652,"RBC sed rate, automated"
85660,RBC sickle cell test
85670,"Thrombin time, plasma"
85675,"Thrombin time, titer"
85705,Thromboplastin inhibition
85730,"Thromboplastin time, partial"
85732,"Thromboplastin time, partial"
85810,Blood viscosity examination
85999,Hematology procedure
86000,"Agglutinins, febrile antigen"
86001,Allergen specific IgG
86003,Allergen specific IgE
86005,Allergen specific IgE
86021,WBC antibody identification
86022,Platelet antibodies
86023,Immunoglobulin assay
86038,Antinuclear antibodies
86039,Antinuclear antibodies (ANA)
86060,"Antistreptolysin O, titer"
86063,"Antistreptolysin O, screen"
86077,Physician blood bank service
86078,Physician blood bank service
86079,Physician blood bank service
86140,C-reactive protein
86141,"C-reactive protein, hs"
86146,Beta-2 glycoprotein antibody
86147,Cardiolipin antibody
86148,Anti-phospholipid antibody
86152,Cell enumeration & id
86153,Cell enumeration phys interp
86155,Chemotaxis assay
86156,"Cold agglutinin, screen"
86157,"Cold agglutinin, titer"
86160,"Complement, antigen"
86161,Complement/function activity
86162,"Complement, total (CH50)"
86171,"Complement fixation, each"
86185,Counterimmunoelectrophoresis
86200,CCP antibody
86215,"Deoxyribonuclease, antibody"
86225,DNA antibody native
86226,"DNA antibody, single strand"
86235,Nuclear antigen antibody
86243,Fc receptor
86255,"Fluorescent antibody, screen"
86256,"Fluorescent antibody, titer"
86277,Growth hormone antibody
86280,Hemagglutination inhibition
86294,"Immunoassay, tumor, qual"
86300,"Immunoassay, tumor, ca 15-3"
86301,"Immunoassay, tumor, ca 19-9"
86304,"Immunoassay, tumor, ca 125"
86305,Human epididymis protein 4
86308,Heterophile antibody screen
86309,Heterophile antibody titer
86310,Heterophile antibody absrbj
86316,"Immunoassay, tumor other"
86317,Immunoassay infectious agent
86318,Immunoassay infectious agent
86320,Serum immunoelectrophoresis
86325,Other immunoelectrophoresis
86327,Immunoelectrophoresis assay
86329,Immunodiffusion NES
86331,Immunodiffusion Ouchterlony
86332,Immune complex assay
86334,"Immunofix e-phoresis, serum"
86335,Immunfix e-phorsis/urine/CSF
86336,Inhibin A
86337,Insulin antibodies
86340,Intrinsic factor antibody
86341,Islet cell antibody
86343,Leukocyte histamine release
86344,Leukocyte phagocytosis
86352,Cell function assay w/stim
86353,Lymphocyte transformation
86355,"B cells, total count"
86356,Mononuclear cell antigen
86357,"NK cells, total count"
86359,"T cells, total count"
86360,"T cell, absolute count/ratio"
86361,"T cell, absolute count"
86367,"Stem cells, total count"
86376,Microsomal antibody each
86378,Migration inhibitory factor
86382,"Neutralization test, viral"
86384,Nitroblue tetrazolium dye
86403,Particle agglut antbdy scrn
86406,Particle agglut antbdy titer
86430,Rheumatoid factor test qual
86431,"Rheumatoid factor, quant"
86480,TB test cell immun measure
86481,TB ag response T-cell susp
86485,"Skin test, candida"
86486,"Skin test, NOS antigen"
86490,Coccidioidomycosis skin test
86510,Histoplasmosis skin test
86580,TB intradermal test
86590,"Streptokinase, antibody"
86592,Syphilis test non-trep qual
86593,Syphilis test non-trep quant
86602,Actinomyces antibody
86603,Adenovirus antibody
86606,Aspergillus antibody
86609,Bacterium antibody
86611,Bartonella antibody
86612,Blastomyces antibody
86615,Bordetella antibody
86617,Lyme disease antibody
86618,Lyme disease antibody
86619,Borrelia antibody
86622,Brucella antibody
86625,Campylobacter antibody
86628,Candida antibody
86631,Chlamydia antibody
86632,Chlamydia IgM antibody
86635,Coccidioides antibody
86638,Q fever antibody
86641,Cryptococcus antibody
86644,CMV antibody
86645,"CMV antibody, IgM"
86648,Diphtheria antibody
86651,Encephalitis California antb
86652,Encephalitis E equine antbdy
86653,Encephalitis St Louis antbdy
86654,Encephalitis W equine antbdy
86658,Enterovirus antibody
86663,Epstein-Barr antibody
86664,Epstein-Barr nuclear antigen
86665,Epstein-Barr capsid VCA
86666,Ehrlichia antibody
86668,Francisella tularensis
86671,Fungus NES antibody
86674,Giardia lamblia antibody
86677,Helicobacter pylori antibody
86682,Helminth antibody
86687,HTLV-I antibody
86688,HTLV-II antibody
86689,HTLV/HIV confirmj antibody
86692,Hepatitis delta agent antbdy
86694,Herpes simplex NES antibody
86695,Herpes simplex type 1 test
86696,Herpes simplex type 2 test
86698,Histoplasma antibody
86701,HIV-1 antibody
86702,HIV-2 antibody
86703,"HIV-1/HIV-2, single result"
86704,"Hep B core antibody, total"
86705,"Hep B core antibody, IgM"
86706,Hep B surface antibody
86707,Hepatitis Be antibody
86710,Influenza virus antibody
86711,John Cunningham antibody
86713,Legionella antibody
86717,Leishmania antibody
86720,Leptospira antibody
86723,Listeria monocytogenes ab
86727,Lymph choriomeningitis ab
86729,Lympho venereum antibody
86732,Mucormycosis antibody
86735,Mumps antibody
86738,Mycoplasma antibody
86741,Neisseria meningitidis
86744,Nocardia antibody
86747,Parvovirus antibody
86750,Malaria antibody
86753,Protozoa antibody NOS
86756,Respiratory virus antibody
86757,Rickettsia antibody
86759,Rotavirus antibody
86762,Rubella antibody
86765,Rubeola antibody
86768,Salmonella antibody
86771,Shigella antibody
86774,Tetanus antibody
86777,Toxoplasma antibody
86778,"Toxoplasma antibody, IgM"
86780,Treponema pallidum
86784,Trichinella antibody
86787,Varicella-zoster antibody
86788,"West Nile virus ab, IgM"
86789,West Nile virus antibody
86790,Virus antibody NOS
86793,Yersinia antibody
86800,Thyroglobulin antibody
86803,Hepatitis C ab test
86804,"Hep C ab test, confirm"
86805,Lymphocytotoxicity assay
86806,Lymphocytotoxicity assay
86807,Cytotoxic antibody screening
86808,Cytotoxic antibody screening
86812,"HLA typing, A, B, or C"
86813,"HLA typing, A, B, or C"
86816,"HLA typing, DR/DQ"
86817,"HLA typing, DR/DQ"
86821,"Lymphocyte culture, mixed"
86822,"Lymphocyte culture, primed"
86825,"HLA x-match, non-cytotoxic"
86826,HLA x-match noncytotoxc addl
86828,HLA Class I&II antibody qual
86829,HLA Class I/II antibody qual
86830,HLA Class I phenotype qual
86831,HLA Class II phenotype qual
86832,HLA Class I high defin qual
86833,HLA Class II high defin qual
86834,HLA Class I semiquant panel
86835,HLA Class II semiquant panel
86849,Immunology procedure
86850,RBC antibody screen
86860,RBC antibody elution
86870,RBC antibody identification
86880,"Coombs test, direct"
86885,"Coombs test, indirect, qual"
86886,"Coombs test, indirect, titer"
86890,Autologous blood process
86891,"Autologous blood, op salvage"
86900,Blood typing serologic ABO
86901,Blood typing serologic Rh(D)
86902,Blood type antigen donor ea
86904,"Blood typing, patient serum"
86905,"Blood typing, RBC antigens"
86906,Bld typing serologic Rh phnt
86910,"Blood typing, paternity test"
86911,"Blood typing, antigen system"
86920,"Compatibility test, spin"
86921,"Compatibility test, incubate"
86922,"Compatibility test, antiglob"
86923,"Compatibility test, electric"
86927,"Plasma, fresh frozen"
86930,Frozen blood prep
86931,Frozen blood thaw
86932,Frozen blood freeze/thaw
86940,"Hemolysins/agglutinins, auto"
86941,Hemolysins/agglutinins
86945,Blood product/irradiation
86950,Leukocyte transfusion
86960,Vol reduction of blood/prod
86965,Pooling blood platelets
86970,RBC pretx incubatj w/ chemic
86971,RBC pretx incubatj w/ enzyme
86972,RBC pretx incubatj w/ densit
86975,RBC serum pretx incubj drugs
86976,RBC serum pretx ID dilution
86977,RBC serum pretx incubj/inhib
86978,"RBC pretreatment, serum"
86985,Split blood or products
86999,Transfusion procedure
87003,Small animal inoculation
87015,Specimen infect agnt concntj
87040,Blood culture for bacteria
87045,Feces culture aerobic bact
87046,Stool cultr aerobic bact ea
87070,Culture othr specimn aerobic
87071,Culture aerobic quant other
87073,Culture bacteria anaerobic
87075,"Cultr bacteria, except blood"
87076,"Culture anaerobe ident, each"
87077,Culture aerobic identify
87081,Culture screen only
87084,Culture of specimen by kit
87086,Urine culture/colony count
87088,Urine bacteria culture
87101,Skin fungi culture
87102,Fungus isolation culture
87103,Blood fungus culture
87106,"Fungi identification, yeast"
87107,"Fungi identification, mold"
87109,Mycoplasma
87110,Chlamydia culture
87116,Mycobacteria culture
87118,Mycobacteric identification
87140,Culture type immunofluoresc
87143,"Culture typing, GLC/HPLC"
87147,"Culture type, immunologic"
87149,"DNA/RNA, direct probe"
87150,"DNA/RNA, amplified probe"
87152,Culture type pulse field gel
87153,DNA/RNA sequencing
87158,"Culture typing, added method"
87164,Dark field examination
87166,Dark field examination
87168,Macroscopic exam arthropod
87169,Macroscopic exam parasite
87172,Pinworm exam
87176,"Tissue homogenization, cultr"
87177,Ova and parasites smears
87181,"Microbe susceptible, diffuse"
87184,"Microbe susceptible, disk"
87185,"Microbe susceptible, enzyme"
87186,"Microbe susceptible, MIC"
87187,"Microbe susceptible, MLC"
87188,"Microbe suscept, macrobroth"
87190,"Microbe suscept, mycobacteri"
87205,"Smear, gram stain"
87206,"Smear, fluorescent/acid stai"
87207,"Smear, special stain"
87209,"Smear, complex stain"
87210,"Smear, wet mount, saline/ink"
87220,Tissue exam for fungi
87230,"Assay, toxin or antitoxin"
87250,"Virus inoculate, eggs/animal"
87252,"Virus inoculation, tissue"
87253,"Virus inoculate tissue, addl"
87254,"Virus inoculation, shell via"
87255,"Genet virus isolate, hsv"
87260,"Adenovirus ag, IF"
87265,"Pertussis ag, IF"
87267,"Enterovirus antibody, DFA"
87270,"Chlamydia trachomatis ag, IF"
87271,Cytomegalovirus DFA
87273,"Herpes simplex 2, ag, IF"
87274,"Herpes simplex 1, ag, IF"
87275,"Influenza b, ag, IF"
87276,"Influenza a, ag, IF"
87277,"Legionella micdadei, ag, IF"
87278,Legion pneumophila ag IF
87279,"Parainfluenza, ag, IF"
87280,"Respiratory syncytial ag, IF"
87281,"Pneumocystis carinii, ag, IF"
87283,"Rubeola, ag, IF"
87285,"Treponema pallidum, ag, IF"
87290,"Varicella zoster, ag, IF"
87299,"Antibody detection, NOS, IF"
87300,"Ag detection, polyval, IF"
87470,"Bartonella, DNA, dir probe"
87471,"Bartonella, DNA, amp probe"
87472,"Bartonella, DNA, quant"
87475,"Lyme dis, DNA, dir probe"
87476,"Lyme dis, DNA, amp probe"
87477,"Lyme dis, DNA, quant"
87480,"Candida, DNA, dir probe"
87481,"Candida, DNA, amp probe"
87482,"Candida, DNA, quant"
87485,"Chylmd pneum, DNA, dir probe"
87486,"Chylmd pneum, DNA, amp probe"
87487,"Chylmd pneum, DNA, quant"
87490,"Chylmd trach, DNA, dir probe"
87491,"Chylmd trach, DNA, amp probe"
87492,"Chylmd trach, DNA, quant"
87493,C diff amplified probe
87495,"Cytomeg, DNA, dir probe"
87496,"Cytomeg, DNA, amp probe"
87497,"Cytomeg, DNA, quant"
87498,Enterovirus probe&revrs trns
87500,"Vancomycin, DNA, amp probe"
87501,Influenza DNA amp prob 1+
87505,Nfct agent detection GI
87506,Iadna-DNA/RNA probe tq 6-11
87507,Iadna-DNA/RNA probe tq 12-25
87510,"Gardner vag, DNA, dir probe"
87511,"Gardner vag, DNA, amp probe"
87512,"Gardner vag, DNA, quant"
87515,"Hepatitis B, DNA, dir probe"
87516,"Hepatitis B, DNA, amp probe"
87517,"Hepatitis B, DNA, quant"
87520,"Hepatitis C, RNA, dir probe"
87521,Hepatitis C probe&rvrs trnsc
87522,Hepatitis C reverse trnscrpj
87525,"Hepatitis G, DNA, dir probe"
87526,"Hepatitis G, DNA, amp probe"
87527,"Hepatitis G, DNA, quant"
87528,"HSV, DNA, dir probe"
87529,"HSV, DNA, amp probe"
87530,"HSV, DNA, quant"
87531,"HHV-6, DNA, dir probe"
87532,"HHV-6, DNA, amp probe"
87533,"HHV-6, DNA, quant"
87534,"HIV-1, DNA, dir probe"
87535,HIV-1 probe&reverse trnscrpj
87536,HIV-1 quant&reverse trnscrpj
87537,"HIV-2, DNA, dir probe"
87538,HIV-2 probe&reverse trnscrpj
87539,HIV-2 quant&reverse trnscrpj
87540,"Legion pneumo, DNA, dir prob"
87541,"Legion pneumo, DNA, amp prob"
87542,"Legion pneumo, DNA, quant"
87550,"Mycobacteria, DNA, dir probe"
87551,"Mycobacteria, DNA, amp probe"
87552,"Mycobacteria, DNA, quant"
87555,"M.tuberculo, DNA, dir probe"
87556,"M.tuberculo, DNA, amp probe"
87557,"M.tuberculo, DNA, quant"
87560,"M.avium-intra, DNA, dir prob"
87561,"M.avium-intra, DNA, amp prob"
87562,"M.avium-intra, DNA, quant"
87580,"M.pneumon, DNA, dir probe"
87581,"M.pneumon, DNA, amp probe"
87582,"M.pneumon, DNA, quant"
87590,"N.gonorrhoeae, DNA, dir prob"
87591,"N.gonorrhoeae, DNA, amp prob"
87592,"N.gonorrhoeae, DNA, quant"
87623,HPV low-risk types
87624,HPV high-risk types
87625,HPV types 16 & 18 only
87631,Resp virus 3-5 targets
87632,Resp virus 6-11 targets
87633,Resp virus 12-25 targets
87640,"Staph A, DNA, amp probe"
87641,"MRSA, DNA, amp probe"
87650,"Strep A, DNA, dir probe"
87651,"Strep A, DNA, amp probe"
87652,"Strep A, DNA, quant"
87653,"Strep B, DNA, amp probe"
87660,"Trichomonas vagin, dir probe"
87661,Trichomonas vaginalis amplif
87797,"Detect agent NOS, DNA, dir"
87798,"Detect agent NOS, DNA, amp"
87799,"Detect agent NOS, DNA, quant"
87800,"Detect agnt mult, DNA, direc"
87801,"Detect agnt mult, DNA, ampli"
87802,Strep B assay w/optic
87803,Clostridium toxin A w/optic
87804,Influenza assay w/optic
