HCPCSCode,ShortDescription
A6534,Gc stocking thighlngth 30-40
A6535,Gc stocking thighlngth 40-50
A6536,Gc stocking full lngth 18-30
A6537,Gc stocking full lngth 30-40
A6538,Gc stocking full lngth 40-50
A6539,Gc stocking waistlngth 18-30
A6540,Gc stocking waistlngth 30-40
A6541,Gc stocking waistlngth 40-50
A6545,Grad comp non-elastic BK
A7015,Aerosol mask used w nebulize
A7506,HMES/trachvalve adhesivedisk
A7520,Trach/laryn tube non-cuffed
A7521,Trach/laryn tube cuffed
A9276,"Disposable sensor, CGM sys"
A9285,Inversion eversion cor devic
A9286,"Any hygienic item, device"
A9500,Tc-99m sestamibi
A9501,Tc-99m teboroxime
A9502,Tc-99m tetrofosmin
A9503,Tc-99m medronate
A9504,Tc-99m apcitide
A9505,Tl-201 thallous chloride
A9507,In-111 capromab
A9508,"I-131 iobenguane, dx"
A9509,I-123 sodium iodide
A9510,Tc-99m disofenin
A9512,Tc-99m pertechnetate
A9515,Choline c-11
A9516,I-123 sodium iodide
A9517,"I-131 iodide cap, rx"
A9520,Tc99m tilmanocept dx 0.5 mci
A9521,Tc-99m exametazime
A9524,"I-131 serum albumin, dx"
A9526,Nitrogen N-13 ammonia
A9527,Iodine I-125 sodium iodide
A9528,"Iodine I-131 iodide cap, dx"
A9529,"I-131 iodide solution, dx"
A9530,"I-131 iodide solution, rx"
A9531,I-131 max 100 uCi
A9532,"I-125 serum albumin, dx"
A9536,Tc-99m depreotide
A9537,Tc-99m mebrofenin
A9538,Tc-99m pyrophosphate
A9539,Tc-99m pentetate
A9540,Tc-99m MAA
A9541,Tc-99m sulfur colloid
A9542,"In-111 ibritumomab, dx"
A9543,"Y-90 ibritumomab, rx"
A9544,"I-131 tositumomab, dx"
A9545,"I-131 tositumomab, rx"
A9546,Co-57/58 cyanocobalamin
A9547,In-111 oxyquinoline
A9548,In-111 pentetate
A9550,Tc-99m gluceptate
A9551,Tc-99m succimer
A9552,F-18 FDG
A9553,Cr-51 chromate
A9554,"I-125 iothalamate, dx"
A9555,Rb-82 rubidium
A9556,Ga-67 gallium
A9557,Tc-99m bicisate
A9558,Xe-133 xenon 10 mCi
A9559,Co-57 cyanocobalamin
A9560,Tc-99m labeled RBC
A9561,Tc-99m oxidronate
A9562,Tc-99m mertiatide
A9563,P-32 sodium phosphate
A9564,P-32 chromic phosphate
A9566,Tc-99m fanolesomab
A9567,Technetium Tc-99m aerosol
A9568,Tc-99m arcitumomab
A9569,Technetium Tc-99m auto WBC
A9570,Indium In-111 auto WBC
A9571,Indium In-111 auto platelet
A9572,Indium In-111 pentetreotide
A9576,Inj ProHance multipack
A9577,Inj MultiHance
A9578,Inj MultiHance multipack
A9579,"Gad-base MR contrast NOS,1ml"
A9580,Sodium fluoride F-18
A9582,I-123 iobenguane
A9586,Florbetapir F18
A9587,Gallium ga-68
A9588,Fluciclovine f-18
A9597,"Pet, dx, for tumor id, noc"
A9598,"Pet dx for non-tumor id, noc"
A9599,Radioph dx b amyloid pet nos
A9600,Sr-89 strontium
A9604,Sm-153 lexidronam
A9606,Radium Ra-223 dichloride thx
A9900,Supply/accessory/service
A9901,Delivery/set up/dispensing
A9999,"DME supply or accessory, NOS"
B4083,Enteral stomach tube levine
B4102,EF adult fluids and electro
B4103,EF ped fluid and electrolyte
B4104,Additive for enteral formula
B4155,EF incomplete/modular
B4180,Parenteral sol carb > 50%
B4216,Parenteral nutrition additiv
B5100,Parenteral solution hepatic
B5200,Parenteral sol hepatic fream
B9000,Enter infusion pump w/o alrm
B9002,Enter nutr inf pump any type
B9998,Enteral supp not otherwise c
B9999,Parenteral supp not othrws c
C1716,"Brachytx non-str, Gold 198"
C1730,"Cath, EP, 19 or few elect"
C1731,"Cath, EP, 20 or more elec"
C1732,"Cath, EP, diag/abl, 3D/vect"
C1733,"Cath, EP, othr than cool-tip"
C1779,"Lead, pmkr, transvenous VDD"
C1842,"Retinal prosth, add-on"
C1889,"Implant/insert device, noc"
C1898,"Lead, pmkr, other than trans"
C2630,"Cath, EP, cool-tip"
C8920,"MRA w/o fol w/cont, pelvis"
C8923,2D TTE w or w/o fol w/con co
C8924,2D TTE w or w/o fol w/con in
C8925,2D TEE w or w/o fol w/con in
C8926,TEE w or w/o fol w/cont cong
C8927,TEE w or w/o fol w/cont moni
C8928,TEE w or w/o fol w/con stres
C8929,"TTE w or wo fol wcon,Doppler"
C8930,"TTE w or w/o contr, cont ECG"
C9121,"Injection, argatroban"
C9132,"Kcentra, per i.u."
C9137,Adynovate Factor VIII recom
C9138,Nuwiq Factor VIII recomb
C9139,"Idelvion, 1 i.u."
C9140,Afstyla factor viii recomb
C9250,Artiss fibrin sealant
C9349,"PuraPly, PuraPly Antimic"
C9352,"Neuragen nerve guide, per cm"
C9353,"Neurawrap nerve protector,cm"
C9354,"Veritas collagen matrix, cm2"
C9355,"NeuroMatrix nerve cuff, cm"
C9356,TenoGlide tendon prot cm2
C9358,"SurgiMend, fetal"
C9359,"Implnt,bon void filler-putty"
C9360,"SurgiMend, neonatal"
C9361,NeuroMend nerve wrap
C9362,"Implnt,bon void filler-strip"
C9363,Integra Meshed Bil Wound Mat
C9364,"Porcine implant, Permacol"
C9461,"Choline C 11, diagnostic"
C9470,Aripiprazole lauroxil im
C9471,"Hymovis, 1 mg"
C9472,Inj talimogene laherparepvec
C9473,"Injection, mepolizumab"
C9474,"Inj, irinotecan liposome"
C9475,"Injection, necitumumab"
C9476,"Injection, daratumumab"
C9477,"Injection, elotuzumab"
C9478,"Injection, sebelipase alfa"
C9479,"Instill, ciprofloxacin otic"
C9480,"Injection, trabectedin"
C9481,"Injection, reslizumab"
C9600,Perc drug-el cor stent sing
C9601,Perc drug-el cor stent bran
C9602,Perc d-e cor stent ather s
C9603,Perc d-e cor stent ather br
C9728,"Place device/marker,non pros"
C9734,"U/S trtmt, not leiomyomata"
C9742,Laryngoscopy with injection
C9800,Dermal filler inj px/suppl
E0231,Wound warming device
E0235,Paraffin bath unit portable
E0270,Hospital bed institutional t
E0296,Hosp bed total elect w/ matt
E0500,IPPB all types
E0550,Humidif extens supple w IPPB
E0560,Humidifier supplemental w/ i
E0565,Compressor air power source
E0601,Cont airway pressure device
E0603,Electric breast pump
E0604,Hosp grade elec breast pump
E0627,"Seat lift mech, electric any"
E0628,Seat lift for pt furn-electr
E0629,"Seat lift mech, non-electric"
E0638,Standing frame sys
E0641,Multi-position stnd fram sys
E0720,TENS 2 lead
E0730,TENS 4 lead
E0740,Non-implant pelv flr e-stim
E0746,Electromyograph biofeedback
E0765,Nerve stimulator for tx n&v
E0776,IV pole
E0870,Tract frame attach footboard
E0880,Trac stand free stand extrem
E0900,Trac stand free stand pelvic
E0946,Fracture frame dual w cross
E0967,Man wc rim/projection rep ea
E0970,Wheelchair no. 2 footplates
E0995,"Wc calf rest, pad replacemnt"
E1031,Rollabout chair with casters
E1226,Manual fully reclining back
E1358,"DC power adapter, port conc"
E1570,Adjustable chair for ESRD pt
E1805,Adjust wrist ext/flex device
E1810,Adjust knee ext/flex device
E1818,SPS forearm device
E1840,Adj shoulder ext/flex device
E2206,Man wc whl lock comp repl ea
E2220,"Solid propuls tire, repl, ea"
E2221,"Solid caster tire repl, each"
E2222,"Solid caster integ whl, repl"
E2224,Propulsion whl excl tire rep
E2359,Gr 34 sealed lead acid bttry
E2360,22nF nonsealed lead acid
E2361,22nF sealed leadacid battery
E2363,Gr24 sealed leadacid battery
E2364,U1nonsealed leadacid battery
E2365,U1 sealed lead acid battery
E2371,Gr27 sealed leadacid battery
E2627,Arm supp att to wc Rancho ty
G0010,Admin hepatitis b vaccine
G0027,Semen analysis
G0103,PSA screening
G0106,Colon CA screen;barium enema
G0120,Colon ca scrn; barium enema
G0130,Single energy X-ray study
G0164,HHC lis nurse train ea 15
G0176,OPPS/PHP;activity therapy
G0177,OPPS/PHP; train & educ serv
G0179,MD recertification HHA PT
G0180,MD certification HHA patient
G0181,Home health care supervision
G0182,Hospice care supervision
G0202,Scr mammo bi incl cad
G0204,Dx mammo incl cad bi
G0206,Dx mammo incl cad uni
G0219,PET img wholbod melano nonco
G0235,"PET imaging, any site NOS"
G0238,"Oth resp proc, indiv"
G0245,Initial foot exam pt LOPS
G0246,Followup eval of foot pt LOP
G0247,Routine footcare pt w LOPS
G0248,Demonstrate use home INR mon
G0249,Provide INR test mater/equip
G0252,PET imaging initial dx
G0255,Current percep threshold tst
G0257,Unsched dialysis ESRD pt hos
G0269,Occlusive device in vein art
G0276,PILD/placebo control clin tr
G0279,"Tomosynthesis, mammo"
G0281,Elec stim unattend for press
G0282,Elect stim wound care not pd
G0293,"Non-cov surg proc,clin trial"
G0294,"Non-cov proc, clinical trial"
G0295,Electromagnetic therapy onc
G0299,Hhs/hospice of RN ea 15 min
G0300,Hhs/hospice of LPN ea 15 min
G0302,Pre-op service LVRS complete
G0303,Pre-op service LVRS 10-15dos
G0304,Pre-op service LVRS 1-9 dos
G0305,Post op service LVRS min 6
G0306,CBC/diffWBC w/o platelet
G0307,CBC without platelet
G0329,Electromagntic tx for ulcers
G0380,Lev 1 hosp type B ED visit
G0381,Lev 2 hosp type B ED visit
G0382,Lev 3 hosp type B ED visit
G0383,Lev 4 hosp type B ED visit
G0384,Lev 5 hosp type B ED visit
G0389,Ultrasound exam AAA screen
G0396,Alcohol/subs interv 15-30mn
G0397,Alcohol/subs interv >30 min
G0398,Home sleep test/type 2 porta
G0399,Home sleep test/type 3 porta
G0400,Home sleep test/type 4 porta
G0402,Initial preventive exam
G0403,EKG for initial prevent exam
G0404,EKG tracing for initial prev
G0405,EKG interpret & report preve
G0409,CORF related serv 15 mins ea
G0412,Open tx iliac spine uni/bil
G0413,Pelvic ring fracture uni/bil
G0422,Intens cardiac rehab w/exerc
G0423,Intens cardiac rehab no exer
G0428,Collagen meniscus implant
G0429,Dermal filler inject for LDS
G0432,EIA HIV-1/HIV-2 screen
G0433,ELISA HIV-1/HIV-2 screen
G0435,Oral HIV-1/HIV-2 screen
G0436,Tobacco-use counsel 3-10 min
G0437,Tobacco-use counsel>10min
G0438,"PPPS, initial visit"
G0439,"PPPS, subseq visit"
G0446,Intens behave ther cardio dx
G0458,LDR prostate brachy comp rat
G0464,"Colorec ca scr, sto bas DNA"
G0466,"FQHC visit, new patient"
G0467,"FQHC visit, estab pt"
G0468,"FQHC visit, IPPE or AWV"
G0469,"FHQC visit, MH new pt"
G0470,"FQHC visit, MH estab pt"
G0471,Ven blood coll SNF/HHA
G0472,Hep C screen high risk/other
G0475,HIV combination assay
G0476,Hpv combo assay ca screen
G0479,Drug test presump not opt
G0480,Drug test def 1-7 classes
G0481,Drug test def 8-14 classes
G0482,Drug test def 15-21 classes
G0483,Drug test def 22+ classes
G0490,"Home visit RN, LPN by RHC/FQ"
G0491,Dialysis acu kidney no esrd
G0492,Md/oth eval acut kid no esrd
G0493,Rn care ea 15 min hh/hospice
G0494,Lpn care ea 15min hh/hospice
G0495,Rn care train/edu in hh
G0496,Lpn care train/edu in hh
G0498,Chemo extend iv infus w/pump
G0499,Hepb screen high risk indiv
G0500,Mod sedat endo service >5yrs
G0501,Resource-inten svc during ov
G0502,"Init psych care manag, 70min"
G0503,"Subseq  psych care man,60mi"
G0504,Init/sub psych care add 30 m
G0505,Cog/func assessment  outpt
G0506,Comp asses care plan ccm svc
G0507,Care manage serv minimum 20
G0508,Crit care telehea consult 60
G0509,Crit care telehea consult 50
G0659,Drug test def simple all cl
G3001,"Admin + supply, tositumomab"
G6002,Stereoscopic X-ray guidance
G6003,Radiation treatment delivery
G6004,Radiation treatment delivery
G6005,Radiation treatment delivery
G6006,Radiation treatment delivery
G6007,Radiation treatment delivery
G6008,Radiation treatment delivery
G6009,Radiation treatment delivery
G6010,Radiation treatment delivery
G6011,Radiation treatment delivery
G6012,Radiation treatment delivery
G6013,Radiation treatment delivery
G6014,Radiation treatment delivery
G6015,Radiation tx delivery IMRT
G6017,Intrafraction track motion
G8395,LVEF>=40% doc normal or mild
G8396,LVEF not performed
G8399,Pt w/DXA results document
G8400,Pt w/DXA no results doc
G8401,Pt inelig osteo screen measu
G8417,Calc BMI abv up param f/u
G8418,Calc BMI blw low param f/u
G8419,Calc BMI out nrm param nof/u
G8420,Calc BMI norm parameters
G8421,BMI not calculated
G8422,Pt inelig BMI calculation
G8427,Docrev cur meds by elig clin
G8432,"Dep scr not doc, rng"
G8433,"Scr dep not done, doc rsn"
G8451,Pt w/abn LVEF inelig b-bloc
G8460,Pt inelig RNA no antvir tx
G8461,Pt rec antivir treat hep c
G8474,ACE/ARB not rx'd; doc reas
G8476,BP sys < 140 and dias < 90
G8477,BP sys>=140 and/or dias >=90
G8485,"Report, Diabetes measures"
G8486,Report Prev Care Measures
G8487,Report CKD measures
G8489,CAD measures group
G8490,RA measures grp
G8491,HIV/AIDS measures grp
G8494,DM meas qual act perform
G8495,CKD meas qual act perform
G8496,Prev care MG qual act perfrm
G8497,CABG meas qual act perform
G8498,CAD meas qual act perform
G8499,RA meas qual act perform
G8500,HIV meas qual act perform
G8510,"Scr dep neg, no plan reqd"
G8511,"Scr dep pos, no plan doc rng"
G8544,CABG Measures Group
G8545,Hep-C Measures Group
G8548,HF Measures Group
G8549,Hep-C mg qual act perform
G8551,HF mg qual act perform
G8566,Pt inelig ref oto eval
G8573,Stroke following CABG
G8574,No stroke following CABG
G8598,Asa/antiplat ther used
G8599,No asa/antiplat ther use rng
G8600,T-PA initi w/in 3 hrs
G8601,No elig T-PA init w/in 3 hrs
G8602,No T-PA init w/in 3 hrs
G8627,Surg proc w/in 30 days
G8628,No surg proc w/in 30 days
G8634,Pt no elg phar ther osteo
G8645,Asthma measures grp
G8646,Asthma MG qual act perform
G8649,"Rafscrs knee no msr, no foto"
G8650,Fun stat score knee not done
G8653,"Rafscrs hip, no msr, no surv"
G8654,Fun stat score hip not done
G8655,Rafscrs ft ank score >=0
G8656,Rafscrs ft ank score < 0
G8657,"Rafscrs foot, no msr/no foto"
G8658,"Rafscrs foot, no msr/no surv"
G8659,Rafscrs lumb score >= 0
G8660,Rafscrs lumb score < 0
G8661,"Rafscrs lum, no msr/no foto"
G8662,"Rafscrs lum, no msr/no surv"
G8665,"Rafscrs shldr, no msr/foto"
G8666,Fun stat score shdl not done
G8669,"Rafscrs hand, no msr/surv"
G8670,Fun stat score UE not done
G8671,"Rafscrs neck, score >/=0"
G8672,"Rafscrs neck, score <0"
G8673,"Rafscrs neck, no msr/no foto"
G8674,"Rafscrs neck, no msr/no foto"
G8694,LVEF < 40%
G8709,Med reas antibiotic pres
G8722,"Med reas pt, pn, not doc"
G8725,Lipid profile perf doc
G8726,Doc reas no lipid profile
G8728,Lipid profile not perf
G8752,Sys BP less 140
G8753,Sys BP > or = 140
G8754,Dias BP less 90
G8755,Dias BP > or = 90
G8757,COPD MG qual act perform
G8758,IBD MG qual act perform
G8759,OSA MG qual act perform
G8761,Dementia MG qual act perform
G8762,PD MG qual act perform
G8765,Cataract MG qual act perform
G8784,Pt no elig for BP assess
G8806,Transab or transvag US
G8807,Doc reas no US
G8809,Rh-immunoglobulin order
G8810,Doc reas no Rh-immuno
G8811,No Rh-immunoglobulin order
G8818,Pt disch to home by day#7
G8825,Pt not disch to home day#7
G8826,Pt disch home day #2 EVAR
G8833,Pt not disch home day#2 EVAR
G8834,Pt disch home day #2 CEA
G8838,Not disch home by day #2
G8842,AHI or RDI initial dx
G8843,Doc reas no AHI or RDI
G8844,No AHI or RDI initial dx
G8846,Mod or severe OSA
G8848,Mild OSA
G8853,Pos Air Press not prescribe
G8861,DXA ordered for osteo
G8868,1st course antiTNF
G8869,Doc immun hep B 1st antiTNF
G8873,Specimen not intraop image
G8879,Node neg inv brst cncr
G8881,Brst cncr stage > T1N0M0
G8898,COPD Measures Group
G8899,Inflammatory Bowel Dis MG
G8900,Obstructive Sleep Apnea MG
G8902,Dementia Measures Group
G8903,Parkinson's Disease MG
G8906,Cataract Measures Group
G8911,Pt doc no fall in ASC
G8916,Pt w IV AB given on time
G8917,Pt w IV AB not given on time
G8918,Pt w/o preop ordr IV AB prop
G8923,LVEF < 40% or LVSD
G8927,Adj chem pres AJCC III
G8929,Adj cmo not pres rsn not gvn
G8934,LVEF < 40% or dep lv sys fcn
G8936,Pt not eligible ACE/ARB
G8938,"BMI calc, pt no f/u plan elg"
G8940,Srn clin dep doc no f/u pln
G8942,Doc fcn/care plan w/30 days
G8944,AJCC mel cnr stg 0 - IIC
G8948,No neuropsych symptoms
G8953,Oncology MG qual act perform
G8963,CSI per asx pt w/PCI 2 yrs
G8964,CSI any other than PCI 2 yrs
G8965,CSIT perf on low CHD rsk
G8966,CSIT perf sx or high CHD rsk
G8967,Wrfrn or oral anticoag pres
G8968,Doc rsn no warf/anticog pres
G8971,Warfrn or othr antcog no rx
G8973,Mst rcnt Hgb < 10 g/dL
G8975,"Hgb < 10g/dL, med rsn"
G8976,Hgb >= 10 g/dL
G8977,Oncology measures grp
G9013,ESRD demo bundle level I
G9014,ESRD demo bundle-level II
G9017,Amantadine HCl 100mg oral
G9018,Zanamivir inhalation pwd 10m
G9019,Oseltamivir phosphate 75 mg
G9020,Rimantadine HCl 100mg oral
G9033,Amantadine HCl oral brand
G9034,"Zanamivir, inh pwdr, brand"
G9035,Oseltamivir phos 75 mg demon
G9036,Rimantadine HCl 100 mg demon
G9050,Oncology work-up evaluation
G9055,Onc visit unspecified NOS
G9056,Onc prac mgmt adheres guide
G9057,Onc pract mgmt differs trial
G9058,Onc prac mgmt disagree w/gui
G9060,Onc prac mgmt dif pt comorb
G9061,Onc prac cond noadd by guide
G9062,Onc prac guide differs NOS
G9063,Onc dx nsclc stgI no progres
G9064,Onc dx nsclc stg2 no progres
G9065,Onc dx nsclc stg3A no progrs
G9066,Onc dx nsclc stg3B-4 metasta
G9067,Onc dx nsclc dx unknown NOS
G9068,Onc dx sclc/nsclc limited
G9069,Onc dx sclc/nsclc ext at dx
G9070,Onc dx sclc/nsclc ext unknwn
G9071,"Onc dx brst stg1-2B HR, no p"
G9072,Onc dx brst stg1-2 noprogres
G9073,"Onc dx brst stg3-HR, no pro"
G9074,Onc dx brst stg3-no progress
G9075,Onc dx brst metastic/ recur
G9078,Onc dx prostate T2no progres
G9079,Onc dx prostate T3B-T4noprog
G9080,Onc dx prostate w/rise PSA
G9083,Onc dx prostate unknown NOS
G9084,"Onc dx colon t1-3,n1-2,no pr"
G9085,"Onc dx colon T4, N0 w/o prog"
G9086,Onc dx colon T1-4 no dx prog
G9087,Onc dx colon metas evid dx
G9088,Onc dx colon metas no evd dx
G9089,Onc dx colon extent unknown
G9090,Onc dx rectal T1-2 no progr
G9091,Onc dx rectal T3 N0 no prog
G9092,"Onc dx rectal T1-3,N1-2noprg"
G9093,"Onc dx rectal T4,N,M0 no prg"
G9094,Onc dx rectal M1 w/mets prog
G9095,Onc dx rectal extent unknwn
G9096,Onc dx esophag T1-T3 noprog
G9097,Onc dx esophageal T4 no prog
G9098,Onc dx esophageal mets recur
G9099,Onc dx esophageal unknown
G9100,Onc dx gastric no recurrence
G9101,Onc dx gastric p R1-R2noprog
G9102,Onc dx gastric unresectable
G9103,Onc dx gastric recurrent
G9104,Onc dx gastric unknown NOS
G9105,Onc dx pancreatc p R0 res no
G9106,Onc dx pancreatc p R1/R2 no
G9107,Onc dx pancreatic unresectab
G9108,Onc dx pancreatic unknwn NOS
G9109,Onc dx head/neck T1-T2no prg
G9110,Onc dx head/neck T3-4 noprog
G9111,Onc dx head/neck M1 mets rec
G9112,Onc dx head/neck ext unknown
G9113,Onc dx ovarian stg1A-B no pr
G9114,Onc dx ovarian stg1A-B or 2
G9115,Onc dx ovarian stg3/4 noprog
G9116,Onc dx ovarian recurrence
G9117,Onc dx ovarian unknown NOS
G9123,Onc dx CML chronic phase
G9124,Onc dx CML acceler phase
G9125,Onc dx CML blast phase
G9126,Onc dx CML remission
G9129,Onc dx mult myeloma stg2 hig
G9130,Onc dx multi myeloma unknown
G9131,Onc dx brst unknown NOS
G9132,Onc dx prostate mets no cast
G9133,Onc dx prostate clinical met
G9134,Onc NHLstg 1-2 no relap no
G9135,Onc dx NHL stg 3-4 not relap
G9136,Onc dx NHL trans to lg Bcell
G9137,Onc dx NHL relapse/refractor
G9138,Onc dx NHL stg unknown
G9139,Onc dx CML dx status unknown
G9140,Frontier extended stay demo
G9147,Outpt IV insulin tx any mea
G9149,Medical home level II
G9150,Medical home level III
G9151,MAPCP demo State
G9152,MAPCP demo community
G9153,MAPCP demo physician
G9157,Transesoph Doppl cardiac mon
G9168,Memory current status
G9203,Hep C RNA done prior to med
G9204,No reason for no hep C RNA
G9205,Hep c antiviral started
G9206,Hep c therapy started
G9207,Hep C genotype prior to med
G9208,No reason for no hep C geno
G9209,Hep C RNA 4to12 wk after med
G9211,No hepC RNA after med no rsn
G9213,No doc of DSM-IV
G9217,No PCP proph low CD4 norsn
G9222,Pjp proph ordered low CD4
G9223,Pjp proph ordered CD4 low
G9233,TKR composite
G9234,TKR intent
G9235,GS mg composite
G9236,OP Rad mg composite
G9237,GS mg intent
G9238,OP Rad mg intent
G9239,Doc rsn hemod & cath acc
G9244,Antiviral not ordered
G9245,Antiviral ordered
G9254,Doc pt dischg >2d
G9255,Doc pt dischg <=2d
G9256,Doc death after CAS
G9257,Doc stroke after CAS
G9258,Doc stroke after CEA
G9259,Doc surv no stroke after CAS
G9260,Doc death after CEA
G9261,Doc surv no stroke after CEA
G9262,Doc death in hosp AAA repair
G9263,Doc surv in hosp AAA repair
G9264,Doc rsn hemod w/cath >=90d
G9282,Doc medrsn no histo type
G9283,Hist type doc on report
G9284,No hist type doc on report
G9288,Doc medrsn no hist type rpt
G9289,Doc type nsm lung ca
G9290,No doc type nsm lung ca
G9291,Not nsm lung ca
G9292,Medrsn no PT category
G9293,No PT category on report
G9294,PT cat and thck on report
G9296,Doc share dec prior proc
G9297,No doc share dec prior proc
G9298,Eval risk VTE card 30d prior
G9308,Unpl ret or w/compl w/in 30d
G9322,No doc count of CT in 12mo
G9324,Not all data norsn
G9326,"Ct done no rad ds index, nrg"
G9327,Ct done rad ds index
G9329,Norsn no DICOM format doc
G9340,DICOM format doc on rpt
G9341,Srch for CT w in 12 mos
G9342,No srch for CT in 12mo norsn
G9344,Sysrsn no DICOM srch
G9345,Follow up pulm nod
G9348,Docrsn no sinus CT dx
G9349,Doc sinus CT 28d
G9350,No doc sinus CT 28d or dx
G9351,Doc >1 sinus CT w 90d dx
G9352,Not >1 sinus CT w 90d dx
G9354,1 or no CT sinus w/in 90d dx
G9360,No doc of neg or man pos TB
G9361,Doc rsn elect c-sec/induct
G9383,Recd scrn HCV infec
G9384,Doc med reas no ann srn HCV
G9385,Doc pt reas not rec HCV scrn
G9386,Scrn HCV infec not recd
G9393,"Ini PHQ9 > 9, remiss < 5"
G9395,Ini PHQ-9 > 9 no remiss >= 5
G9396,Ini PHQ-9 >9 not assess
G9410,No admit w/in 180d req remov
G9411,No admit w/in 180d req remov
G9412,Admit w/in 180d req surg rev
G9413,No admit req surg rev
G9416,Pt 1 tdap betw 10-13 yrs
G9417,Pt not 1 tdap betw 10-13 yrs
G9418,Lungcx bx rpt docs class
G9419,Med reas not incl histo type
G9421,Lung cx bx rpt no doc class
G9432,Asthma controlled
G9434,Asthma not controlled
G9435,Asp presc disch
G9436,Asp not presc doc reas
G9437,Asp not presc disch
G9438,P2Y inhibitor prescribed
G9439,P2Y inhib not presc doc reas
G9440,P2Y inhib not presc
G9441,Statin prescribed discharge
G9442,Statin not presc doc reas
G9443,Statin not presc discharge
G9448,Born 1945-1965
G9451,1x scrn HCV infect
G9452,Doc med reas no scrn HCV
G9453,Pt reas no HCV infect
G9455,"Abd imag w/US, CT or MRI"
G9456,Doc med pt reas no HCC scrn
G9463,Sinusitis intent
G9464,Sinusitis comp
G9465,AOE intent
G9466,AOE comp
G9469,Rec cortico>60d or 1rx 600mg
G9470,No rec cortico>60d 1rx 600mg
G9471,"W/in 2 years, DXA not order"
G9472,No DXA no med hx no rv sx
G9480,Admission to MCCM
G9481,Remote E/M new pt 10mins
G9482,Remote E/M new pt 20mins
G9483,Remote E/M new pt 30mins
G9484,Remote E/M new pt 45mins
G9485,Remote E/M new pt 60mins
G9486,Remote E/M est. pt 10mins
G9487,Remote E/M est. pt 15mins
G9488,Remote E/M est. pt 25mins
G9489,Remote E/M est. pt 40mins
G9497,Rec inst no smoke day surg
G9499,No start/rec antvir tx Hep C
G9500,Rad expos ind/exp tm doc
G9501,Rad expos ind/exp tm no doc
G9504,Doc reas no HBv status
G9509,Remis 12m PHQ-9 score <5
G9510,Remis 12m not PHQ-9 score <5
G9511,PHQ-9 >9 during 12m time
G9512,Indiv PDC > 0.8
G9513,Indiv PDC not > 0.8
G9519,Final ref +/- 0.5 w/in 90d
G9520,Refract not +/- 0.5 w/in 90d
G9529,Minor blunt trauma w/head CT
G9530,Min hd traum GCS=15 w/CT ed
G9531,Doc shnt/br tum/on antipl rx
G9533,Indic for head CT not valid
G9534,Adv brain image not ordered
G9538,Adv brain image ordered
G9547,Incid finding liver/kid/adre
G9549,Doc med rsn for follow imag
G9551,"Abd imag no les,kid/livr/adr"
G9554,Ct/cta/mri/a chst foll rec
G9555,Doc med rsn for follup image
G9556,Ct/cta/mri/a no follup imag
G9557,Ct/cta/mri/a no thyr <1.0cm
G9559,Doc med reas no abx therapy
G9572,PHQ-scr >9 doc in 12m time
G9573,Remis 6m w/6mos PHQ-9 <5
G9574,Remis 6m w/o 6mos PHQ-9 <5
G9585,No eval opi use instr/intv
G9593,Low PECARN ped head trauma
G9594,GCS >15 & hd ct by ed md
G9595,Doc shnt/tum/coag/thrombocyt
G9597,No low PECARN ped head traum
G9600,Symp AAA urgent repair
G9607,Doc rsn no interop cysto
G9609,Doc order anti-plat
G9610,Doc md rsn no antipla
G9611,No doc order anti-plat rng
G9619,Doc rsn no scr uter malig
G9625,Ptblad inj at surg/1mo post
G9626,Med rsn no rpt baldder inj
G9627,No bld inj at surg/1 mo pos
G9628,Bowel inj at surg/1mos post
G9629,Med rsn no rpt bowel inj
G9630,No bow inj at surg/1mos post
G9632,Med rsn for no rpt uret inj
G9633,No uret inj at surg/1mo post
G9635,No doc rsn do qual life assm
G9637,Doc >1 dose reduc tech
G9638,No doc >1 dose reduc tech
G9642,Current smoker
G9646,Pt w/90d MRS 0-2
G9647,No MRS score in 90d followup
G9648,Pt w/90d MRS >2
G9649,Psori tool doc w/benchmk
G9651,Psori tool doc/no bnchmk met
G9652,Pt tx sys bio med psori 6mth
G9653,Pt no tx sys bio rx 6 mths
G9654,Mon anesth care
G9656,Pt direct anesth loc to PACU
G9657,Toc dur aneth to icu
G9659,>85y no hx colo ca/rsn scope
G9660,Doc med rsn scope pt >85y
G9662,Prior dx/active clin ASCVD
G9663,Fast/dir LDL = 190 mg/dl
G9666,Fas/dir LDL 70-189mg/dl mst
G9669,Intend rpt mult chr msr grp
G9670,Qty act mcc mg perf
G9671,Intend rpt dia retin msr grp
G9672,Qty act diab retin mg perf
G9673,Intend rpt card prev msr grp
G9674,Pt w/clin ASCVD dx
G9675,Pt w/fast/dir lab LDL-C >190
G9676,40-75y w/type 1/2 w/LDL-C rs
G9677,Qty act card prev mg perf
G9678,Oncology Care Model service
G9686,Nursing facility conference
G9687,Hospice anytime msmt per
G9688,Pt w/hosp anytime msmt per
G9689,Inpt elect carotid intervent
G9690,Pt rec hospice dur msmt per
G9691,Pt hosp dur msmt period
G9692,Hosp recd by pt dur msmt per
G9693,Pt use hosp during msmt per
G9694,Hosp srv used pt in msmt per
G9695,Long act inhal bronchdil pre
G9696,Med rsn no presc bronchdil
G9697,Pt rsn no presc bronchdil
G9698,Sys rsn no presc bronchdil
